URI	code	Label (English)	Label (French)
http://id.loc.gov/vocabulary/languages/smn	smn	Inari Sami	
http://id.loc.gov/vocabulary/languages/smo	smo	Samoan	
http://id.loc.gov/vocabulary/languages/sms	sms	Skolt Sami	
http://id.loc.gov/vocabulary/languages/sna	sna	Shona	
http://id.loc.gov/vocabulary/languages/snd	snd	Sindhi	
http://id.loc.gov/vocabulary/languages/snk	snk	Soninke	
http://id.loc.gov/vocabulary/languages/sog	sog	Sogdian	
http://id.loc.gov/vocabulary/languages/som	som	Somali	
http://id.loc.gov/vocabulary/languages/son	son	Songhai	
http://id.loc.gov/vocabulary/languages/sot	sot	Sotho	
http://id.loc.gov/vocabulary/languages/spa	spa	Spanish	
http://id.loc.gov/vocabulary/languages/srd	srd	Sardinian	
http://id.loc.gov/vocabulary/languages/srn	srn	Sranan	
http://id.loc.gov/vocabulary/languages/srp	srp	Serbian	
http://id.loc.gov/vocabulary/languages/srr	srr	Serer	
http://id.loc.gov/vocabulary/languages/ssa	ssa	Nilo-Saharan (Other)	
http://id.loc.gov/vocabulary/languages/ssw	ssw	Swazi	
http://id.loc.gov/vocabulary/languages/suk	suk	Sukuma	
http://id.loc.gov/vocabulary/languages/sun	sun	Sundanese	
http://id.loc.gov/vocabulary/languages/sus	sus	Susu	
http://id.loc.gov/vocabulary/languages/sux	sux	Sumerian	
http://id.loc.gov/vocabulary/languages/swa	swa	Swahili	
http://id.loc.gov/vocabulary/languages/swe	swe	Swedish	
http://id.loc.gov/vocabulary/languages/syc	syc	Syriac	
http://id.loc.gov/vocabulary/languages/syr	syr	Syriac, Modern	
http://id.loc.gov/vocabulary/languages/tah	tah	Tahitian	
http://id.loc.gov/vocabulary/languages/tai	tai	Tai (Other)	
http://id.loc.gov/vocabulary/languages/tam	tam	Tamil	
http://id.loc.gov/vocabulary/languages/tat	tat	Tatar	
http://id.loc.gov/vocabulary/languages/tel	tel	Telugu	
http://id.loc.gov/vocabulary/languages/tem	tem	Temne	
http://id.loc.gov/vocabulary/languages/ter	ter	Terena	
http://id.loc.gov/vocabulary/languages/tet	tet	Tetum	
http://id.loc.gov/vocabulary/languages/tgk	tgk	Tajik	
